batch_size,microbatch_size,num_microbatches,pulp_split,mem_limits,data_split,predicted_ms,measured_ms,error_pct
64,32,2,17/8/7,17/8/8,17/7/8,24613.8,102918.3,-76.1
64,16,4,17/8/7,17/8/8,17/7/8,49227.5,135917.8,-63.8
64,8,8,17/8/7,17/8/8,17/7/8,98455.1,211925.5,-53.5
32,16,2,25/6/1,25/12/12,17/8/7,22121.2,67881.4,-67.4
32,8,4,25/6/1,25/12/12,17/8/7,44242.5,106466.1,-58.4
32,4,8,25/6/1,25/12/12,17/8/7,88484.9,190835.4,-53.6
64,32,2,17/8/7,17/8/8,17/8/7,24613.8,103056.3,-76.1
64,16,4,17/8/7,17/8/8,17/8/7,49227.5,135972.4,-63.8
64,8,8,17/8/7,17/8/8,17/8/7,98455.1,211929.6,-53.5
32,16,2,25/6/1,25/12/12,17/9/6,22121.2,67779.8,-67.4
32,8,4,25/6/1,25/12/12,17/9/6,44242.5,106546.7,-58.5
32,4,8,25/6/1,25/12/12,17/9/6,88484.9,189522.6,-53.3
64,32,2,17/8/7,17/8/8,17/9/6,24613.8,103115.0,-76.1
64,16,4,17/8/7,17/8/8,17/9/6,49227.5,136118.7,-63.8
64,8,8,17/8/7,17/8/8,17/9/6,98455.1,211938.7,-53.5
32,16,2,25/6/1,25/12/12,17/10/5,22121.2,67752.3,-67.3
32,8,4,25/6/1,25/12/12,17/10/5,44242.5,106450.8,-58.4
32,4,8,25/6/1,25/12/12,17/10/5,88484.9,189413.6,-53.3
32,16,2,25/6/1,25/12/12,17/11/4,22121.2,67857.4,-67.4
32,8,4,25/6/1,25/12/12,17/11/4,44242.5,106684.5,-58.5
32,4,8,25/6/1,25/12/12,17/11/4,88484.9,189446.6,-53.3
32,16,2,25/6/1,25/12/12,17/12/3,22121.2,67946.6,-67.4
32,8,4,25/6/1,25/12/12,17/12/3,44242.5,106239.4,-58.4
32,4,8,25/6/1,25/12/12,17/12/3,88484.9,189634.7,-53.3
32,16,2,25/6/1,25/12/12,18/2/12,22121.2,67088.6,-67.0
32,8,4,25/6/1,25/12/12,18/2/12,44242.5,104881.2,-57.8
32,4,8,25/6/1,25/12/12,18/2/12,88484.9,187949.9,-52.9
32,16,2,25/6/1,25/12/12,18/3/11,22121.2,66887.7,-66.9
32,8,4,25/6/1,25/12/12,18/3/11,44242.5,104727.5,-57.8
32,4,8,25/6/1,25/12/12,18/3/11,88484.9,187853.6,-52.9
32,16,2,25/6/1,25/12/12,18/4/10,22121.2,66953.6,-67.0
32,8,4,25/6/1,25/12/12,18/4/10,44242.5,105187.8,-57.9
32,4,8,25/6/1,25/12/12,18/4/10,88484.9,189115.2,-53.2
32,16,2,25/6/1,25/12/12,18/5/9,22121.2,67193.9,-67.1
32,8,4,25/6/1,25/12/12,18/5/9,44242.5,105113.1,-57.9
32,4,8,25/6/1,25/12/12,18/5/9,88484.9,188681.7,-53.1
64,32,2,17/8/7,17/8/8,18/5/9,24613.8,102613.8,-76.0
64,16,4,17/8/7,17/8/8,18/5/9,49227.5,134853.4,-63.5
64,8,8,17/8/7,17/8/8,18/5/9,98455.1,209869.5,-53.1
32,16,2,25/6/1,25/12/12,18/6/8,22121.2,67192.6,-67.1
32,8,4,25/6/1,25/12/12,18/6/8,44242.5,104982.4,-57.9
32,4,8,25/6/1,25/12/12,18/6/8,88484.9,187672.6,-52.9
64,32,2,17/8/7,17/8/8,18/6/8,24613.8,102167.7,-75.9
64,16,4,17/8/7,17/8/8,18/6/8,49227.5,134412.6,-63.4
64,8,8,17/8/7,17/8/8,18/6/8,98455.1,209723.2,-53.1
32,16,2,25/6/1,25/12/12,18/7/7,22121.2,66997.3,-67.0
32,8,4,25/6/1,25/12/12,18/7/7,44242.5,104732.6,-57.8
32,4,8,25/6/1,25/12/12,18/7/7,88484.9,187483.9,-52.8
64,32,2,17/8/7,17/8/8,18/7/7,24613.8,102151.2,-75.9
64,16,4,17/8/7,17/8/8,18/7/7,49227.5,134385.1,-63.4
64,8,8,17/8/7,17/8/8,18/7/7,98455.1,209293.7,-53.0
32,16,2,25/6/1,25/12/12,18/8/6,22121.2,67051.5,-67.0
32,8,4,25/6/1,25/12/12,18/8/6,44242.5,105071.3,-57.9
32,4,8,25/6/1,25/12/12,18/8/6,88484.9,187690.4,-52.9
64,32,2,17/8/7,17/8/8,18/8/6,24613.8,102195.6,-75.9
64,16,4,17/8/7,17/8/8,18/8/6,49227.5,134352.6,-63.4
64,8,8,17/8/7,17/8/8,18/8/6,98455.1,208886.9,-52.9
32,16,2,25/6/1,25/12/12,18/9/5,22121.2,66875.4,-66.9
32,8,4,25/6/1,25/12/12,18/9/5,44242.5,104804.1,-57.8
