20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_gi5gb_mb,avg_gi5gb_mb,total_latency_ms,status
12,10,6,4,32,16,2,512,4854,3453,95207.203125,ok
12,10,6,4,32,8,4,512,4784,3483,149183.078125,ok
12,10,6,4,32,4,8,512,4764,3590,261205.296875,ok
12,10,6,4,32,2,16,512,2458,1780,,timeout
12,10,6,4,64,32,2,512,4854,3493,,OOM_rank2
12,10,6,4,64,16,4,512,4856,3639,,OOM_rank2
12,10,6,4,64,8,8,512,4858,3819,,OOM_rank2
12,10,6,4,64,4,16,512,2506,1800,,timeout
12,10,6,4,64,2,32,512,2490,1806,,timeout
12,11,3,6,32,16,2,512,4808,2437,93129.8828125,ok
12,11,3,6,32,8,4,512,4834,2391,145662.1875,ok
12,11,3,6,32,4,8,512,3266,2044,255662.4375,ok
12,11,3,6,32,2,16,512,1300,1012,,timeout
12,11,3,6,64,32,2,512,4822,2314,,OOM_rank3
12,11,3,6,64,16,4,512,4730,2385,,OOM_rank3
12,11,3,6,64,8,8,512,4324,2281,,OOM_rank3
12,11,3,6,64,4,16,512,1348,1024,,timeout
12,11,3,6,64,2,32,512,1332,1003,,timeout
12,11,4,5,32,16,2,512,4832,2861,92952.96875,ok
12,11,4,5,32,8,4,512,4630,2896,146109.1875,ok
12,11,4,5,32,4,8,512,4292,2667,254879.546875,ok
12,11,4,5,32,2,16,512,1686,1266,,timeout
12,11,4,5,64,32,2,512,4808,3145,,OOM_rank1
12,11,4,5,64,16,4,512,4820,3162,,OOM_rank1
12,11,4,5,64,8,8,512,4790,3185,,OOM_rank1
12,11,4,5,64,4,16,512,1734,1281,,timeout
12,11,4,5,64,2,32,512,1718,1303,,timeout
12,11,5,4,32,16,2,512,4830,3149,93116.6015625,ok
12,11,5,4,32,8,4,512,4724,3257,146591.875,ok
12,11,5,4,32,4,8,512,4598,3128,256996.671875,ok
12,11,5,4,32,2,16,512,2072,1545,,timeout
12,11,5,4,64,32,2,512,4854,3485,,OOM_rank1
12,11,5,4,64,16,4,512,4848,3512,,OOM_rank1
12,11,5,4,64,8,8,512,4828,3598,,OOM_rank1
12,11,5,4,64,4,16,512,2120,1553,,timeout
12,11,5,4,64,2,32,512,2104,1541,,timeout
12,11,6,3,32,16,2,512,4854,3439,93154.9375,ok
12,11,6,3,32,8,4,512,4826,3468,146608.171875,ok
12,11,6,3,32,4,8,512,4764,3585,257229.203125,ok
12,11,6,3,32,2,16,512,2458,1773,,timeout
12,11,6,3,64,32,2,512,4854,3459,,OOM_rank2
12,11,6,3,64,16,4,512,4864,3641,,OOM_rank2
12,11,6,3,64,8,8,512,4856,3802,,OOM_rank2
12,11,6,3,64,4,16,512,2506,1819,,timeout
12,11,6,3,64,2,32,512,2490,1812,,timeout
12,12,2,6,32,16,2,512,4750,2090,91235.3046875,ok
12,12,2,6,32,8,4,512,4694,2008,142668.921875,ok
12,12,2,6,32,4,8,512,2240,1423,249658.46875,ok
12,12,2,6,32,2,16,512,914,726,,timeout
12,12,2,6,64,32,2,512,4828,1964,,OOM_rank3
12,12,2,6,64,16,4,512,4758,2055,,OOM_rank3
12,12,2,6,64,8,8,512,3662,1602,,OOM_rank3
12,12,2,6,64,4,16,512,962,734,,timeout
12,12,2,6,64,2,32,512,946,737,,timeout
12,12,3,5,32,16,2,512,4750,2434,91450.796875,ok
12,12,3,5,32,8,4,512,4834,2388,142782.859375,ok
12,12,3,5,32,4,8,512,3266,2040,249825.671875,ok
12,12,3,5,32,2,16,512,1300,1004,,timeout
12,12,3,5,64,32,2,512,4822,2568,,OOM_rank1
12,12,3,5,64,16,4,512,4600,2534,,OOM_rank1
12,12,3,5,64,8,8,512,4324,2497,,OOM_rank1
12,12,3,5,64,4,16,512,1348,1024,,timeout
12,12,3,5,64,2,32,512,1332,1003,,timeout
12,12,4,4,32,16,2,512,4832,2868,90870.0546875,ok
12,12,4,4,32,8,4,512,4630,2893,142345.28125,ok
12,12,4,4,32,4,8,512,4292,2662,249700.71875,ok
12,12,4,4,32,2,16,512,1686,1281,,timeout
12,12,4,4,64,32,2,512,4788,2878,,OOM_rank1
12,12,4,4,64,16,4,512,4690,2967,,OOM_rank1
12,12,4,4,64,8,8,512,4790,2895,,OOM_rank1
12,12,4,4,64,4,16,512,1734,1294,,timeout
12,12,4,4,64,2,32,512,1718,1284,,timeout
12,12,5,3,32,16,2,512,4830,3146,90888.765625,ok
12,12,5,3,32,8,4,512,4764,3221,142644.421875,ok
12,12,5,3,32,4,8,512,4598,3121,249473.234375,ok
12,12,5,3,32,2,16,512,2072,1528,,timeout
12,12,5,3,64,32,2,512,4838,3259,,OOM_rank1
12,12,5,3,64,16,4,512,4840,3232,,OOM_rank1
12,12,5,3,64,8,8,512,4520,3297,,OOM_rank1
12,12,5,3,64,4,16,512,2120,1565,,timeout
12,12,5,3,64,2,32,512,2104,1547,,timeout
12,12,6,2,32,16,2,512,4854,3428,91056.125,ok
12,12,6,2,32,8,4,512,4784,3455,143733.3125,ok
12,12,6,2,32,4,8,512,4856,3582,252169.84375,ok
12,12,6,2,32,2,16,512,2458,1781,,timeout
12,12,6,2,64,32,2,512,4854,3461,,OOM_rank2
12,12,6,2,64,16,4,512,4856,3632,,OOM_rank2
12,12,6,2,64,8,8,512,4856,3795,,OOM_rank1
12,12,6,2,64,4,16,512,2506,1799,,timeout
12,12,6,2,64,2,32,512,2490,1785,,timeout
13,7,6,6,32,16,2,512,4854,3453,99316.984375,ok
13,7,6,6,32,8,4,512,4858,3477,155230.546875,ok
13,7,6,6,32,4,8,512,4764,3596,271580.625,ok
13,7,6,6,32,2,16,512,2458,1816,,timeout
13,7,6,6,64,32,2,512,4854,3336,,OOM_rank3
13,7,6,6,64,16,4,512,4784,3445,,OOM_rank3
13,7,6,6,64,8,8,512,4856,3592,,OOM_rank3
13,7,6,6,64,4,16,512,2506,1800,,timeout
13,7,6,6,64,2,32,512,2490,1813,,timeout
13,8,5,6,32,16,2,512,4826,3170,97176.96875,ok
13,8,5,6,32,8,4,512,4554,3072,151750.921875,ok
13,8,5,6,32,4,8,512,4598,3132,267019.75,ok
13,8,5,6,32,2,16,512,2072,1550,,timeout
13,8,5,6,64,32,2,512,4810,3027,,OOM_rank3
13,8,5,6,64,16,4,512,4832,3049,,OOM_rank3
13,8,5,6,64,8,8,512,4520,3119,,OOM_rank3
13,8,5,6,64,4,16,512,2120,1570,,timeout
13,8,5,6,64,2,32,512,2104,1546,,timeout
13,8,6,5,32,16,2,512,4854,3451,97025.125,ok
13,8,6,5,32,8,4,512,4858,3466,151852.71875,ok
13,8,6,5,32,4,8,512,4764,3594,265683.78125,ok
13,8,6,5,32,2,16,512,2458,1802,,timeout
13,8,6,5,64,32,2,512,4854,3477,,OOM_rank2
13,8,6,5,64,16,4,512,4856,3633,,OOM_rank2
13,8,6,5,64,8,8,512,4856,3809,,OOM_rank2
13,8,6,5,64,4,16,512,2506,1802,,timeout
13,8,6,5,64,2,32,512,2490,1806,,timeout
13,9,4,6,32,16,2,512,4832,2856,94485.953125,ok
13,9,4,6,32,8,4,512,4630,2905,149051.921875,ok
13,9,4,6,32,4,8,512,4292,2663,260975.1875,ok
13,9,4,6,32,2,16,512,1686,1286,,timeout
13,9,4,6,64,32,2,512,4788,2651,,OOM_rank3
13,9,4,6,64,16,4,512,4854,2797,,OOM_rank3
13,9,4,6,64,8,8,512,4790,2767,,OOM_rank3
13,9,4,6,64,4,16,512,1734,1321,,timeout
13,9,4,6,64,2,32,512,1718,1284,,timeout
13,9,5,5,32,16,2,512,4826,3151,94132.2734375,ok
13,9,5,5,32,8,4,512,4758,3247,147710.78125,ok
13,9,5,5,32,4,8,512,4598,3128,259075.28125,ok
