20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_rank0_20gb_mb,peak_rank1_10gb_mb,peak_rank2_5gb_mb,peak_rank3_5gb_mb,avg_rank0_20gb_mb,avg_rank1_10gb_mb,avg_rank2_5gb_mb,avg_rank3_5gb_mb,total_latency_ms,status
16,9,5,2,32,8,4,512,8698,4825,2728,1462,7009,4021,2308,1285,120258.09375,ok
16,9,5,2,32,4,8,512,8818,4889,2752,1462,7499,4233,2410,1320,232807.921875,ok
16,9,5,2,32,2,16,512,9032,5009,2828,1486,7861,4402,2494,1348,456369.90625,ok
16,9,5,2,16,8,2,512,7994,4429,2494,1718,6046,3570,2076,1180,60924.37890625,ok
16,9,5,2,16,4,4,512,8050,4457,2512,1718,6631,3809,2187,1219,117045.484375,ok
16,9,5,2,16,2,8,512,8136,4497,2540,1718,7116,4020,2288,1261,228364.078125,ok
16,9,5,2,8,4,2,512,7666,4241,2392,1718,5892,3444,2022,1150,59521.44140625,ok
16,9,5,2,8,2,4,512,7688,4241,2396,1462,6421,3698,2123,1180,115271.1640625,ok
17,6,5,4,64,32,2,512,19534,6985,4528,4524,9249,3504,2719,2512,76698.7265625,ok
17,6,5,4,64,16,4,512,12938,4643,3830,3348,8568,3226,2669,2417,134073.640625,ok
17,6,5,4,64,8,8,512,10702,3837,3188,2848,8745,3226,2663,2420,249370.84375,ok
17,6,5,4,64,4,16,512,10966,3917,3252,2896,9179,3344,2764,2498,479055.625,ok
17,6,5,4,64,2,32,512,11450,4121,3404,3016,9547,3455,2850,2572,949582.3125,ok
17,6,5,4,32,16,2,512,10308,3699,3028,2706,6878,2697,2234,2056,67658.921875,ok
17,6,5,4,32,8,4,512,9206,3295,2728,2558,7420,2804,2315,2131,125994.8203125,ok
17,6,5,4,32,4,8,512,9334,3341,2752,2558,7916,2922,2408,2209,243130.46875,ok
17,6,5,4,32,2,16,512,9564,3433,2828,2558,8326,3031,2498,2282,473307.9375,ok
17,6,5,4,16,8,2,512,8458,3031,2494,2302,6371,2513,2076,1935,63972.75390625,ok
17,6,5,4,16,4,4,512,8518,3053,2512,2300,7007,2654,2189,2023,122283.0546875,ok
17,6,5,4,16,2,8,512,8614,3087,2540,2558,7536,2780,2291,2111,239734.140625,ok
17,6,5,4,8,4,2,512,8110,2907,2392,2302,6205,2455,2030,1888,61678.9296875,ok
17,6,5,4,8,2,4,512,8136,2917,2396,2204,6843,2596,2138,1981,120265.140625,ok
17,7,4,4,64,32,2,512,19534,9041,4618,4524,9234,4245,2349,2506,74881.9609375,ok
17,7,4,4,64,16,4,512,12938,5365,3108,3348,8469,3670,2161,2394,130513.515625,ok
17,7,4,4,64,8,8,512,10702,4447,2592,2848,8726,3702,2171,2414,243033.21875,ok
17,7,4,4,64,4,16,512,10966,4529,2640,2896,9158,3846,2246,2494,472393.6875,ok
17,7,4,4,64,2,32,512,11450,4765,2760,3016,9543,3986,2318,2571,927410.5,ok
17,7,4,4,32,16,2,512,10308,4279,2448,2706,6890,3088,1835,2061,66059.2421875,ok
17,7,4,4,32,8,4,512,9206,3803,2220,2558,7399,3204,1887,2122,123407.3359375,ok
17,7,4,4,32,4,8,512,9334,3857,2236,2558,7922,3362,1968,2211,237983.90625,ok
17,7,4,4,32,2,16,512,9564,3945,2296,2550,8312,3488,2030,2278,466883.3125,ok
17,7,4,4,16,8,2,512,8458,3501,2044,2558,6384,2876,1712,1936,62612.78515625,ok
17,7,4,4,16,4,4,512,8518,3521,2044,2558,6945,3043,1782,2014,120766.953125,ok
17,7,4,4,16,2,8,512,8614,3565,2064,2558,7531,3197,1868,2111,238614.328125,ok
17,7,4,4,8,4,2,512,8110,3353,1948,2558,6171,2788,1652,1869,62459.0859375,ok
17,7,4,4,8,2,4,512,8136,3343,1946,2204,6791,2957,1738,1967,119429.8359375,ok
17,7,5,3,64,32,2,512,19534,9041,4528,3422,9178,4240,2703,1974,76953.0625,ok
17,7,5,3,64,16,4,512,12938,5365,3830,2626,8492,3683,2654,1918,133584.84375,ok
17,7,5,3,64,8,8,512,10702,4447,3188,2246,8721,3704,2657,1922,247177.1875,ok
17,7,5,3,64,4,16,512,10966,4529,3252,2284,9117,3831,2749,1977,477338.03125,ok
17,7,5,3,64,2,32,512,11450,4765,3404,2370,9530,3980,2844,2035,935316.25,ok
17,7,5,3,32,16,2,512,10308,4279,3028,2104,6855,3084,2236,1646,67562.5078125,ok
17,7,5,3,32,8,4,512,9206,3803,2728,2138,7359,3176,2289,1695,124808.671875,ok
17,7,5,3,32,4,8,512,9334,3857,2752,2138,7911,3360,2410,1765,240840.140625,ok
17,7,5,3,32,2,16,512,9566,3945,2828,2138,8313,3488,2495,1815,469851.625,ok
17,7,5,3,16,8,2,512,8458,3501,2494,1882,6307,2858,2055,1542,63612.4765625,ok
17,7,5,3,16,4,4,512,8518,3521,2512,2138,6968,3036,2172,1617,120889.8671875,ok
17,7,5,3,16,2,8,512,8614,3565,2540,1882,7493,3187,2282,1682,235521.921875,ok
17,7,5,3,8,4,2,512,8110,3353,2392,2138,6144,2789,2022,1514,62378.8515625,ok
17,7,5,3,8,2,4,512,8136,3345,2396,1882,6812,2964,2131,1584,119239.7578125,ok
17,8,4,3,64,32,2,512,19534,9215,4618,3394,9101,4427,2323,1948,75432.75,ok
17,8,4,3,64,16,4,512,12938,6105,3108,2626,8438,4129,2157,1908,130051.3671875,ok
17,8,4,3,64,8,8,512,10702,5029,2592,2246,8695,4175,2168,1921,241562.984375,ok
17,8,4,3,64,4,16,512,10966,5141,2640,2284,9142,4348,2245,1984,466647.1875,ok
17,8,4,3,64,2,32,512,11450,5389,2760,2372,9529,4510,2316,2037,917264.0,ok
17,8,4,3,32,16,2,512,10308,4841,2448,2104,6778,3443,1823,1635,65799.5234375,ok
17,8,4,3,32,8,4,512,9206,4311,2220,2138,7347,3598,1882,1699,121585.015625,ok
17,8,4,3,32,4,8,512,9334,4373,2236,1976,7877,3783,1959,1757,234651.0,ok
17,8,4,3,32,2,16,512,9566,4477,2296,2018,8290,3939,2027,1812,460498.71875,ok
